line_number,company_name,address,phone,site,altSite,query_string
1,GROUPE SODIAAL,,,,,"SODIAAL UNION, SODIAAL"
2,Rey Léon Cheese Savoie SAS,"2524 Rte du Fayet, 74700 Domancy, Франція",+33 4 50 58 34 28,,,SAS REY LEON FROMAGES DE SAVOIE
3,Cleurie-Augier - Groupe France Frais,"7 Rue de l'Encensement, 88200 Saint-Nabord, Франція",+33 3 29 23 63 63,https://theoseiller0.wixsite.com/cleurie-augier88,,CLEURIE - AUGIER
4,,,,,https://www.laita.com/en,LAITA
5,,,,,,SODEGER EURL
6,Etablissements Auribault,"Rte de Saint-Dizier, 52100 Villiers-en-Lieu, Франція",+33 3 25 05 59 48,,,ETABLISSEMENTS AURIBAULT
7,Maîtres Laitiers Distribution,"Rue Alfred Nobel, 14123 Ifs, Франція",+33 2 31 70 34 00,,,MAITRES LAITIERS DISTRIBUTION
8,Distrisud,"D612, 34110 Frontignan, Франція",+33 4 67 51 72 00,,,DISTRISUD
9,Etlin Service Frais,"2 Rue Georges Pawlak, 57645 Ogy-Montoy-Flanville, Франція",+33 3 87 31 70 70,http://www.etlin.fr/,,"ETLIN SERVICE FRAIS, LOSEFRA"
10,Askel Aslg,"4 Rue Robert Guichaoua, 29000 Quimper, Франція",+33 2 98 53 01 01,https://www.reseau-le-saint.com/askel/,,A S L G DISTRIBUTION
11,Sarl Ets Leduc Duez,"13 Rue Jean Jaurès, 59188 Saint-Vaast-en-Cambrésis, Франція",+33 3 27 37 14 22,https://www.facebook.com/beurre.leduc/,,SARL ETS LEDUC DUEZ
12,Team Ouest Distralis,"3 rue Ravalet, La Rivière, ZA Noyal Sud, 35530 Noyal-sur-Vilaine, Франція",+33 800 67 03 92,,,TEAM OUEST DISTRALIS
13,,,,,https://www.benoist-lair.fr/,BENOIST-LAIR
14,Crèmerie Husson,"2 Rue Gambetta, 51000 Châlons-en-Champagne, Франція",+33 3 26 65 79 22,https://www.petitscommerces.fr/page/cremerie-husson/,,ETABLISSEMENTS HUSSON
15,Bourgogne Produits Frais,"Rue Saint-Exupéry, 89470 Monéteau, Франція",+33 3 86 94 41 00,https://www.bpfrais.fr/,,"BOURGOGNE PRODUITS FRAIS, BPF"
16,,,,,https://www.savencia-fromagedairy.com/,"SAVENCIA FROMAGE & DAIRY FOODSERVICE, SAVENCIA FROMAG"
17,Groupe EVEN,"Traon Bihan CS 40003, 29260 Ploudaniel, Франція",+33 2 29 62 50 00,http://www.even.fr/,,COOPERATIVE EVEN
18,Lodifrais,"Rue Pierre Mendès France, 33310 Lormont, Франція",+33 5 57 80 99 00,https://lodifrais.fr/,,LODIFRAIS
19,,,,,,DISTRISUD - IDEELICE
20,Les Délices de L'Ouest,"Rue Louis Braille, 17430 Tonnay-Charente, Франція",+33 5 46 06 89 00,,,LES DELICES DE L'OUEST
21,Lact' Union,"12 Rte de Vauchelles, 80100 Abbeville, Франція",,,,LACT'UNION
22,,,,,https://supercoop.de/en/home-page/,SUPERCOOP
23,The Centrale del Latte di Alessandria and Asti (La Centrale del Latte di Alessandria e Asti),"Via Ennio Massobrio, 10/12, 15121 Alessandria AL, Італія",+39 0131 360511,http://www.iltuolatte.it/,,LA CENTRALE DEL LATTE DI ALESSANDRIA E ASTI - S.P.A.
24,Emmal Store,"Via Albert Bruce Sabin, 95045 Misterbianco CT, Італія",+39 351 723 1939,,,EMMAL S.R.L.
25,Fornaciari Distribuzione (Il Caseificio SRL),"SR2, 01015 Sutri VT, Італія",+39 0761 600826,https://instagram.com/fornaciari_ilcaseificio?utm_medium=copy_link,,IL CASEIFICIO SRL
26,Lapalus L et Fils,"12 Rue de la Planchette, 71800 La Clayette, Франція",+33 3 85 28 03 27,,,ETABLISSEMENTS LUCIEN LAPALUS ET FILS (Lapalus et Fils)
27,Sa.g.e.m. srl,"Via Giuseppe Garibaldi, 68, 21010 Ferno VA, Італія",+39 0331 241787,http://www.sagemsrl.com/,,SAGEM S.R.L.
28,Unicoop Firenze sc (Unicoop Firenze),,,,,UNICOOP FIRENZE SOCIETA' COOPERATIVA
29,,,,,,SORELAT S.R.L.
30,Sartori Formaggi Srl,"Via Ottavio Ricci, 11/12, 43012 Fontanellato PR, Італія",+39 0521 827073,,,SARTORI FORMAGGI
31,Berardi Salumi Srl,"Via San Giorgio, 1, 67013 Poggio Cancelli AQ, Італія",+39 0862 909260,http://www.salumiberardi.it/,,BERARDI SALUMI
32,,,,,,S.C.A. S.R.L.
33,,,,,https://www.gruppolactalisitalia.com/,LACTALIS ITALIA S.P.A.
34,Formaggi Del Curto Snc,"Via Don Primo Lucchinetti, 24, 23020 San Vittore SO, Італія",+39 0343 41016,,,FORMAGGI DEL CURTO S.N.C. DI DEL CURTO ELEONORA E SOFIA
35,,,,,,METRO DOLOMITI S.P.A.
36,Dis-Frais,"Rue de l'Avenir, 50500 Carentan les Marais, Франція",+33 2 33 71 05 05,,,DIS-FRAIS
37,,,,,https://sicom-srls.it/en/,SICOM S.R.L.
38,Caseificio Mor Stabilini Snc Di Mor Stabilini Carlo & C.,"Strada Statale 235, 13, 26835 Crespiatica LO, Італія",+39 0371 484341,,,CASEIFICIO MOR STABILINI SNC DI MOR STABILINI CARLO E C
39,,,,,,LELLI PIETRO GIOVANNI S.R.L.
40,MIKA SRL,"Via Lecco, 20 Q, 22036 Erba CO, Італія",+39 031 333 8518,http://www.regnoverde.eu/,,MIKA S.R.L.
41,,,,,https://nicoletta.com.ua/,NICOLETTA S.R.L.
42,Campagnola S.r.l.,"Via Lazio, 21, 40069 Zola Predosa BO, Італія",+39 051 753500,http://www.campagnola.it/,,CAMPAGNOLA S.R.L.
43,R. & G. Della Valle Societa' A Responsabilita' Limitata,"Via Giovanni XXIII, 28, 81030 Cancello ed Arnone CE, Італія",,,,R. & G. DELLA VALLE
44,Valcolatte,"Via Firenze, 16, 29010 Valconasso, Pontenure PC, Італія",+39 0523 519043,https://valcolatte.it/,,VALCOLATTE
45,Ferrari Giovanni Spa Dairy Industry,"SP107, 26816 Ossago Lodigiano LO, Італія",+39 0371 2851,https://www.ferrariformaggi.it/,,FERRARI GIOVANNI INDUSTRIA CASEARIA SPA
46,Bustaffa Emilio & Figli Spa,"Piazzale Giacobbe Bustaffa, 1, 46031 Bagnolo San Vito MN, Італія",+39 0376 25001,,,BUSTAFFA EMILIO E FIGLI - S.P.A.
47,AR Alimentari Srl,"80017, Via Umbria, 14, 80017 Melito di Napoli NA, Італія",+39 081 702 3311,,,A.R. ALIMENTARI S.R.L.
48,Caseificio Schiavone E.G.M. Società Cooperativa,"Corso Dante, 114, 81033 Casal di Principe CE, Італія",+39 081 816 1789,,,SCHIAVONE E.G.M. SOCIETA' COOPERATIVA
49,Spaccio Del Caseificio- L'Antica Cascina - Aperto al Pubblico,"Via Campo dei Fiori, 2, 47122 Forlì FC, Італія",+39 0543 722442,https://www.spaccioanticacascina.it/,,L'ANTICA CASCINA SERVICE S.R.L.
50,Varese Distribuzione srl,"Via Rossi, 17, 21026 Oltrona al Lago VA, Італія",+39 0332 746404,http://varesedistribuzione.com/,,VARESE DISTRIBUZIONE S.R.L.
51,,,,,,F.LLI GIRAUDO DI MARCO E MARINELLA GIRAUDO S.N.C.
52,,,,,,COFAB (Ets C.O.F.A.B)
53,VI. GA. S.r.l.,"Via Umbria, 30, 80017 Melito di Napoli NA, Італія",+39 081 702 2335,http://vigasrl.com/,,VI.GA. S.R.L.
54,,,,,,LES SECRETS D'HONORE (Sté d'Expl. Ets Albert Ronjat)
55,Ciccola Luigi & C.,"Via dell'Industria, 26, 60015 Falconara Marittima AN, Італія",+39 071 918 8173,,,CICCOLA LUIGI & C.   S.N.C.
56,,,,,,EREDI DI OCCHIPINTI LUCIANO S.N.C. DI ANTONIO E MAURO-SALVATORE OCCHIPINTI
57,Ghioldi Snc,"Via Madonna, 3, 22070 Guanzate CO, Італія",+39 031 976933,,,GHIOLDI S.N.C. DI GHIOLDI ALDO ERMINIO E C.
58,Lo Spaccio Giani Leone Srl - Industrie Casearie,"Strada Provinciale ex Strada Statale 596 dei Cairoli, 16, 27020 Carbonara al Ticino PV, Італія",+39 0382 400655,https://www.lospacciogianileone.com/,,GIANI LEONE & C. SRL - INDUSTRIE CASEARIE
59,Arcadia Food Trading Srl,"Via Brigata Reggio, 67, 42124 Reggio Emilia RE, Італія",,,,ARCADIA FOOD TRADING
60,Capo Gavito S.R.L.,"Via del Commercio, 14, 72017 Ostuni BR, Італія",+39 0831 304506,,,CAPO GAVITO S.R.L.
61,,,,,,BASSI S.P.A.
62,Botalla S.r.l,"Via Eriberto Ramella Germanin, 5, 13900 Biella BI, Італія",+39 015 26353,http://www.botallaformaggi.com/,,BOTALLA S.R.L.
63,Linea Due Srl,"Via Antica di Busca, 74, 12100 Cuneo CN, Італія",+39 0171 411340,http://www.lineadue.com/,,LINEA DUE S.R.L.
64,Arrigoni Sergio Formaggi SRL,"Via Pradelle, 24, 24011 Almè BG, Італія",+39 035 543535,http://www.sergioarrigoni.it/,,ARRIGONI SERGIO FORMAGGI S.R.L.
65,,,,,,I.S.A.F. S.R.L.
66,Polatte,"5GC4+Q8J, Malé, Мальдіви",+960 955-6686,http://www.polatte.com/,,POLATTE
67,Il Cavalcatore Srl,"1 Contrada Cavalcatore, Assoro, En 94010, Італія",+39 0935 667255,http://www.ilcavalcatore.it/,,IL CAVALCATORE S.R.L.
68,Dalla Bona,"Via Gianbattista Meli, 102, 25013 Carpenedolo BS, Італія",+39 030 996 5469,http://www.dallabona.it/,,DALLA BONA S.P.A.
69,La Casera Di Martinelli Srl,"Piazzale Don Antonio Seghezzi, 3, 24011 Almè BG, Італія",+39 035 541144,http://www.lacaseradimartinelli.it/,,LA CASERA DI MARTINELLI S.R.L.
70,Supermercati F.Lli Pentella S.R.L. Interspar (Supermercati F.Lli Pentella Interspar),"Via Pontecitra, 72, 80034 Marigliano NA, Італія",+39 081 350 8873,http://www.supermercatipentella.it/,,SUPERMERCATI F.LLI PENTELLA S.R.L.
71,,,,,,SUPER ELITE FOODS S.R.L.
72,Frieslandcampina Italy Srl,"Via Paracelso, 24, 20864 Agrate Brianza MB, Італія",+39 039 607 2500,https://www.frieslandcampina.com/,,FRIESLANDCAMPINA ITALY S.R.L.
73,Caseificio Censi,"Via Giaranzana, 16, 43010 Santa Croce PR, Італія",,https://www.parmigianoreggiano.com/it/caseifici/caseificio-eredi-censi-rino/,,EREDI CENSI RINO
74,Piccoli Piaceri S.R.L.,"Via Trani, 314, 76121 Barletta BT, Італія",+39 0883 348184,http://www.asseliti.it/,,PICCOLI PIACERI S.R.L.
75,,,,,,SOCIETA' A RESPONSABILITA' LIMITATA MAGAZZINI EMILIANI STAGIONATURA FORMAGGI
76,Z. Lanquetot 0,"47 Av. d'Auvergne, 94150 Rungis-min, Франція",+33 1 46 86 40 00,,,Z LANQUETOT
77,Madama La Piemonteisa S.r.l.,"Via Francesco Baracca, 2, 14100 Asti AT, Італія",+39 0141 411015,http://www.madamalapiemonteisa.it/,,LA PIEMONTEISA
78,Mo' Bufala,"Via Delle Vigne, 21/27, 70033 Corato BA, Італія",+39 080 567 4453,http://www.mobufala.it/,,APULIAN BUFALA S.R.L.
79,Caseificio Artlatte Srl,"Via Giacomo Puccini, 1816, 55016 Porcari LU, Італія",+39 0583 211195,http://www.artlatte.it/,,CASEIFICIO ARTLATTE S.R.L.
80,Pegaso S.r.l - NARDI HARVESTING (sede principale),"Via del Lavoro, 14/16, 37047 San Bonifacio VR, Італія",+39 045 766 5570,http://www.nardi-harvesting.com/,,PEGASO S.R.L.
81,,,,,,CAPLAC - COOPERATIVA AGRICOLA PRODUTTORI LATTE E AFFINI COMPITESE
82,,,,,,"ETLIN SERVICE FRAIS, L.S.F. (LOSEFRA)"
83,Caramaschi Roberto,"Via F, Via Franklin Vivenza, 32, 46100 Mantova MN, Італія",+39 0376 380533,,,CARAMASCHI ROBERTO S.N.C
84,Conad Sede (Conad Centro Nord),"Via J.F.Kennedy, 5, 42040 Campegine RE, Італія",+39 0522 905111,https://chisiamo.conad.it/cooperative/conad-centro-nord,,CONAD CENTRO NORD SOCIETA' COOPERATIVA
85,Commerciale Atripalda Srl,"Viale Moro Aldo, Benevento, BN 82100, Італія",+39 0824 316358,,,COMMERCIALE ATRIPALDA  S.R.L.
86,Sabelli Distribuzione,"Via Melibeo, 70, 00155 Roma RM, Італія",,https://www.sabellidistribuzione.it/,,SABELLI DISTRIBUZIONE S.R.L.
87,Ingaunia Srl,"Via Piave, 85, 17031 Albenga SV, Італія",+39 0182 543549,,,INGAUNIA S.R.L.
88,,,,,,TESSARO SNC DI TESSARO TIZIANO EMANUELE ALCIDE PAOLO E MASSIMO
89,Caseificio San Rocco,"Via Tre Case, 65, 36056 Tezze sul Brenta VI, Італія",+39 0424 89056,http://www.caseificiosanrocco.it/,,CASEIFICIO SAN ROCCO SOC. COOPERATIVA AGRICOLA
90,Perla Snc Cheese,"Via Martiri delle Foibe, 11, 12038 Savigliano CN, Італія",+39 0172 21724,http://www.perlaformaggi.it/,,PERLA DI SEPERTINO EUGENIA & C. S.N.C.
91,Caseificio Antica Corte,"Via Emilio Lepido, 291, 43122 Parma PR, Італія",+39 0521 645148,https://www.parmigianoreggiano.com/it/caseifici/caseificio-antica-corte/,,CASEIFICIO ANTICA CORTE S.A.S. DI BARANI ROSELLA E SIMONE
92,Cer.Mac Snc Di Macco Maria & C.,"Corso Torino, 1, 13040 Buronzo VC, Італія",+39 0161 858001,,,CER.MAC.   S.N.C. DI MACCO MARIA E C.
93,Il Casaro Srl,"Viale Risorgimento, 10, 81030 Cellole CE, Італія",+39 0823 703936,,,IL CASARO S.R.L.
94,,,,,,DI MAIOLO S.R.L.
95,Giaccone Dr. Lorenzino e C.,"Via Torrione, 30/A, 28021 Borgomanero NO, Італія",+39 0322 845875,,,GIACCONE DR. LORENZINO & C. S.R.L.
96,,,,,https://www.aironehoods.com/,AIRONE S.R.L.
97,Signor Giorgio & C. S.R.L.,"Via Molinetto, 25, 31030 Borso del Grappa TV, Італія",+39 0423 910333,,,SIGNOR GIORGIO & C. - S.R.L.
98,,,,,,BURRIFICIO LA GOCCIA BIANCA S.R.L.
99,Calabria Service S.R.L.,"Strada Statale 18, 82, 89851 Ionadi VV, Італія",+39 0963 263481,http://www.calabriaservicesrl.it/,,CALABRIA SERVICE S.R.L.
100,Maxì,"Via Nicolò Premuda, 2, 31013 Codogné TV, Італія",+39 0438 793053,https://www.maxisupermercati.it/,,NORDEST SUPERMERCATI S.R.L.
101,4m dei Fratelli Marverti & C. S.R.L,"Str. Vignolese, 1124, 41126 Modena MO, Італія",+39 059 469870,,,4M DEI FRATELLI MARVERTI & C. S.R.L.
102,Contento Latte S.R.L.,"Via Cialdini, 91, 74016 Massafra TA, Італія",+39 099 880 2339,,,CONTENTO LATTE S.R.L.
103,,,,,https://www.alpenzu.com/,ALPENZU SRL
104,,,,,,G.T.A. S.R.L.
105,,,,,,LUCE S.R.L.
106,GrosMarket Sogegross Dalmine,"Via Provinciale, 80, 24044 Dalmine BG, Італія",+39 010 717 8766,https://www.grosmarket.it/,,GROS MARKET ITALIA S.R.L.
107,,,,,,COOPERATIVA LATTERIA VIPITENO SOCIETA' AGRICOLA
108,Caseificio Sociale Casello,"Via Provinciale, 101/A, 41025 Montecreto MO, Італія",+39 0536 65149,http://www.caseificiocasello.it/,,CASEIFICIO SOCIALE CASELLO SOCIETA' AGRICOLA COOPERATIVA
109,Sofrose,"32 Av. Aristide Briand, 12150 Sévérac-d'Aveyron, Франція",+33 5 65 47 81 38,,,"SOCIETE FROMAGERE SEVERAC LE CHATEAU, SOFROSE (Société Fromagère de Séverac le Château)"
110,,,,,https://www.caseificioautieri.it/,CASEIFICIO AUTIERI S.R.L.
111,Industria Alimentare Tanagrina S.R.L.,"Via Della Sorgente, 84030 San Pietro al Tanagro SA, Італія",+39 0975 398100,http://www.tanagrina.com/,,INDUSTRIA ALIMENTARE TANAGRINA - S.R.L.
112,,,,,,"A S L G DISTRIBUTION, SODIAL (Sté Distribution Alimentaire)"
113,,,,,,GMS S.R.L.
114,Casearia F.O.I. Srl,"Z.I. Tossilo, 08015 Macomer NU, Італія",+39 0785 221011,,,F.O.I. - S.R.L.
115,,,,,https://www.rovagnati.it/,ROVAGNATI SPA
116,Latteria Di Visinale,"Via dei Donatori, 10, 33087 Pasiano di Pordenone PN, Італія",+39 0434 610746,http://www.latteriadivisinale.it/,,LATTERIA DI VISINALE S.R.L.
117,Soc. Agr. Bosco Vescovado Srl,"Località Sanguigna, 142, 43052 Sanguigna PR, Італія",,,,SOCIETA' AGRICOLA BOSCO VESCOVADO S.R.L.
118,Social Dairy Casale di Bismantova (Latteria Sociale Casale Di Bismantova),"42035, Via Casale, 10, 42035 Castelnovo Ne' Monti RE, Італія",+39 0522 812069,http://www.latteriabismantova.it/,,LATTERIA SOCIALE MADONNA DELLA PIETRA DI BISMANTOVA SOCIETA' COOP ERATIVA AGRICOLA
119,,,,,,ITALIAN LATTICINI S.R.L.
120,Tuscanlat S.A.S. Di Pratali Torquato,"Strada Tuscanese, KM.4,600, 01100 Viterbo VT, Італія",+39 0761 353177,,,TUSCANLAT SAS DI PRATALI TORQUATO E C.
121,,,,,,F.LLI LATINI DI LATINI STEFANO E C. S.N.C.
122,Caseificio Serra,"Via del Progresso, 1, 09040 Ortacesus SU, Італія",+39 070 981 9016,http://www.caseificioserra.it/,,INDUSTRIA CASEARIA AGROALIMENTARE SERRA S.R.L.
123,Distrilait Sarl,"194 Rue du Bois des Cerisiers, 60100 Creil, Франція",+33 3 44 56 21 03,,,SOCIETE DISTRILAIT (Distrilait)
124,G. & D. Formaggi (S.R.L.),"Via Giuseppe Verdi, 33, 43017 San Secondo Parmense PR, Італія",+39 0521 873588,,,G. & D. FORMAGGI S.R.L.
125,Nesti e Bonsignori Spa,"Via della Fornace, 114, 56025 Pontedera PI, Італія",+39 0587 292067,,,NESTI E BONSIGNORI S.P.A.
126,Latterie Siciliane S.r.l.,"Via Manfredi Chiaramonte, 1, 93100 Caltanissetta CL, Італія",,,,LATTERIE SICILIANE S.R.L.
127,Due Piu' Di Cecchi Fabiana E Daniele & C. S.A.S.,"Via del Popolo, 134, 51019 Anchione PT, Італія",+39 0572 636176,,,DUE PIU' DI CECCHI FABIANA  DANIELE & C. S.A.S.
128,,,,,,LA QUATTRO G.  S.R.L.
129,G. Barbieri,"Via Crocifisso, 2, 27058 Voghera PV, Італія",+39 0383 644112,,,G. BARBIERI S.R.L.
130,Caseificio Puglialat,"Via dell'Agricoltura, 70015 Noci BA, Італія",+39 080 497 9452,http://www.puglialat.it/,,CASEIFICIO PUGLIALAT S.R.L.
131,,,,,,DITTA PAOLINI FRANCESCO E TAMBURINI CARLO & C. S.N.C.
132,,,,,,DI.AL. - DISTRIBUZIONE ALIMENTARI S.R.L.
133,,,,,,ADOLFO MEDEGHINI S.R.L.
134,Alimentare Canavesana S.R.L.,"Via XXV Aprile, 16/B, 10080 Busano TO, Італія",+39 0124 48493,http://alimentarecanavesana.bdf.land/,,ALIMENTARE CANAVESANA S.R.L.
135,,,,,,DOLCE FIOR S.R.L.
136,,,,,,I SAPORI DELLA PENISOLA S.R.L.
137,,,,,,CA' DI PARMA
